RT_ID,SN_B,SN_E,STOP_CD_B,STOP_CD_E,DIST,LMT_SPD
VPHTKVV-P1,1,3,PACUR  ,VVETK2A,5167,60
VPHTK99-N2,1,18,PACUR  ,SSMTM3A,104322,50
VPHTMA3-P1,1,6,PACUR  ,ADETM2A,16939,60
VPHTMMS-N2,1,12,PACUR  ,MASMITA,107249,60
VPHVBCV-N1,1,5,PACUR  ,CRUVHVA,18314,60
VPJCNAC-N2,1,7,PACAF  ,ESTAN1A,48764,60
VPJCNAL-N1,1,4,PACAF  ,ALBROCA,20953,40
VPJCNGE-N2,1,14,PACAF  ,GESTATA,146327,60
VPJCNPH-N1,1,4,PACAF  ,PACUR  ,18411,40
VPJCNPO-N2,1,6,PACAF  ,PAOJO  ,36787,40
VPPDPDI-N2,1,26,PAPUE  ,PARED2A,186129,60
VPPDPDO-N2,1,29,PAPUE  ,ESTA24A,228762,60
VPPDPDR-N2,1,27,PAPUE  ,PARED1A,200013,60
VPCCSDX-N2,1,28,PACHO  ,ESTADAA,631941,60
VPCCSEB-N2,1,15,PACHO  ,ETBVE1A,164248,60
VPCCSEL-N2,1,15,PACHO  ,ETBVE2A,163549,40
VPCCSER-N2,1,22,PACHO  ,ESTAPAA,348662,40
VPDPDLR-N2,1,23,PADON  ,PUEBL4A,136390,60
VPDPDPP-N2,1,30,PADON  ,PAPUE  ,227333,40
VPDPDSP-N2,1,27,PADON  ,AVE3CSA,192583,40
VPKINGO-N2,1,3,PAACO  ,ALLSB1A,6259,60
VPKTKPB-N2,1,54,PAACO  ,PACAB  ,2280500,40
VPMCACA-N2,1,9,PAMEG  ,PENAB1A,32861,40
VPMCAES-N2,1,17,PAMEG  ,ESTASIA,94303,40
VPMPADO-N2,1,7,PAMEG  ,ESTA24A,16614,60
VPPDPDX-N2,1,28,PAPUE  ,ESTADAA,214748,60
VPPDPMX-N2,1,19,PAPUE  ,MAINT1A,100620,40
VPPDPNI-N2,1,32,PAPUE  ,NVAES1A,284687,60
VPCCSES-N2,1,34,PACHO  ,ESTASIA,834293,40
VPCCSET-N1,1,9,PACHO  ,COEST1A,86560,60
VPCCSJV-N2,1,21,PACHO  ,JJVAL1A,327947,60
VPCCSMX-N2,1,19,PACHO  ,MAINT1A,330965,40
VPDPDVL-N2,1,28,PADON  ,VERDB2A,191291,40
VPDPD99-N2,1,39,PADON  ,SSMTM3A,409546,50
VPMPADR-N2,1,5,PAMEG  ,PARED1A,8269,60
VPMPADX-N2,1,6,PAMEG  ,ESTADAA,12802,60
VPMPANI-N2,1,7,PAMEG  ,NVAES1A,14954,60
VPMPAP4-N2,1,16,PAMEG  ,PPAPC1A,87768,40
VPNSBPO-N2,1,8,POLIC1A,PAOJO  ,12207,40
VPNSBSB-N2,1,6,POLIC1A,ESTSI2A,4612,60
VPOARPN-N2,1,6,PAOJO  ,POLIC1A,10509,30
VPOARP7-N2,1,5,PAOJO  ,POLSI2A,7701,30
VPOARV1-N2,1,8,PAOJO  ,VALLE1A,15815,30
VPOCCS2-R2,1,30,PAOJO  ,SANVI2A,218965,60
VPPDPPD-N2,1,27,PAPUE  ,PADON  ,199506,40
VPPDPPG-N2,1,14,PAPUE  ,PAGMN1A,58616,50
VPPDPP4-N2,1,42,PAPUE  ,PPAPC1A,510423,40
VPCCSNI-N2,1,32,PACHO  ,NVAES1A,784248,60
VPCCSPD-N2,1,27,PACHO  ,PADON  ,596079,40
VPCCSPF-N2,1,14,PACHO  ,PBAVE1A,153600,40
VPCCSPG-N2,1,15,PACHO  ,PAGMN1A,215785,50
VPDPJPG-N2,1,12,PADON  ,PAGMN1A,34163,50
VPDPJP2-N2,1,19,PADON  ,ESTAPEA,87837,40
VPDPJP6-N2,1,18,PADON  ,PREAL2A,78255,50
VPDPJSI-N2,1,20,PADON  ,YSAJO1A,97570,40
VPOCCS7-N2,1,44,PAOJO  ,SANVI1A,492557,60
VPOCNAL-N1,1,4,PAOJO  ,ALBROCA,21407,40
VPOCNA2-N1,1,5,PAOJO  ,AMELI3A,39193,40
VPOCNA3-N1,1,5,PAOJO  ,ADETM2A,28527,60
VPOCNCN-N1,1,7,PAOJO  ,CVANA2A,54621,60
VPPDPTO-N2,1,22,PAPUE  ,CRUCE1A,136058,50
VPPDPXA-N2,1,5,PAPUE  ,139TM2A,6350,40
VPPJAGU-N2,1,2,PAPUE  ,GUAVE1A,894,60
VPPJAJR-N2,1,9,PAPUE  ,ESTAJ2A,23177,60
VPCCSP2-N2,1,29,PACHO  ,ESTAPEA,552953,40
VPCCSP4-N2,1,41,PACHO  ,PPAPC1A,1167796,40
VPCCSP6-N2,1,21,PACHO  ,PREAL2A,400007,50
VPHAAED-N1,1,2,PACUR  ,DORAD1A,7281,60
VPHCLA2-N1,1,3,PACUR  ,AMELI3A,8629,40
VPHCNAC-N2,1,5,PACUR  ,ESTAN1A,53977,60
VPHCNAE-N2,1,5,PACUR  ,ESTAN2A,54536,60
VPHCNAZ-N2,1,19,PACUR  ,EALCDIA,326477,30
VPHCNBN-N2,1,4,PACUR  ,DONBN2A,64074,60
VPHCNCH-P2,1,22,PACUR  ,CHAGR1A,643882,60
VPHCNC6-P2,1,15,PACUR  ,CANCP1A,399838,40
VPOCNCV-N1,1,6,PAOJO  ,CRUVHVA,43592,60
VPOCNC5-N1,1,9,PAOJO  ,HSBCL3A,85063,60
VPOCNED-N1,1,4,PAOJO  ,DORAD1A,15596,60
VPOCNEM-N1,1,12,PAOJO  ,ESTAMAA,128635,40
VPOCNEP-N2,1,12,PAOJO  ,PODERTA,38928,40
VPOCNE3-N1,1,6,PAOJO  ,ESTICAA,46291,40
VPOCNE4-N1,1,5,PAOJO  ,ESTVARA,30779,40
VPOCNL2-N1,1,7,PAOJO  ,LPAVA2A,55046,60
VPOCNMC-N1,1,11,PAOJO  ,MERMACA,114132,60
VPOCNM1-N2,1,9,PAOJO  ,MANOP1A,24667,40
VPOCNPC-P1,1,11,PAOJO  ,PACHO  ,142290,40
VPPJAJ2-N2,1,3,PAPUE  ,ESTAD2A,1898,40
VPQCAES-N2,1,28,PREAL1A,ESTASIA,135295,40
VPQCAMX-N2,1,15,PREAL1A,MAINT1A,32975,40
VPQCSBV-N2,1,14,PREAL1A,BVVCS1A,69412,40
VPQCSCE-N2,1,14,PREAL1A,BVVCS2A,68893,40
VPQCSPC-N1,1,22,PREAL1A,PACHO  ,266912,40
VPCCSSI-N2,1,29,PACHO  ,YSAJO1A,552616,40
VPCCSSP-N2,1,11,PACHO  ,AVE3CSA,103391,40
VPCCSTO-N2,1,22,PACHO  ,CRUCE1A,429699,50
VPCCSVL-N2,1,13,PACHO  ,VERDB2A,146769,40
VPHCNEA-N2,1,26,PACUR  ,AMANE1A,492965,40
VPHCNEC-P2,1,16,PACUR  ,ESTACAA,258997,40
VPHCNEP-P2,1,12,PACUR  ,PODERTA,175717,40
VPHCNER-N2,1,9,PACUR  ,ESTAPAA,187931,40
VPHCNE1-N2,1,5,PACUR  ,ESTLP2A,80559,40
VPHCNE2-N2,1,8,PACUR  ,ESTLP1A,159116,40
VPHCNLA-N2,1,4,PACUR  ,ANDESLA,40064,30
VPHCNLI-N2,1,8,PACUR  ,PUEBL2A,159072,60
VPOCNPD-N2,1,11,PAOJO  ,PADON  ,178016,40
VPOCNPH-P1,1,5,PAOJO  ,PACUR  ,19546,40
VPOCNPJ-P1,1,5,PAOJO  ,PACAF  ,26330,60
VPOCNPP-N2,1,5,PAOJO  ,PAPUE  ,31802,40
VPOCNPT-N1,1,11,PAOJO  ,PAICT1A,123507,60
VPOCNPU-P1,1,7,PAOJO  ,URRACCA,56155,60
VPOCNST-N2,1,13,PAOJO  ,ESTASLA,42394,40
VPOCNS1-N2,1,7,PAOJO  ,ETAP11A,15686,40
VPOCNTE-N2,1,12,PAOJO  ,ESTATCA,39279,40
VPOCNTR-R2,1,16,PAOJO  ,TTOTC1A,60949,40
VPQCSPH-N1,1,22,PREAL1A,PACUR  ,267609,40
VPQDAVL-N2,1,12,PREAL1A,VERDB2A,37376,40
VPQDDCP-N2,1,2,PREAL1A,CPRAD1A,1509,30
VPQINP6-N2,1,2,PREAL1A,PREAL2A,169,50
VPQMDPP-N2,1,19,PREAL1A,PAPUE  ,91996,40
VPQPAPD-N2,1,20,PREAL1A,PADON  ,76270,40
VPCCSXA-N2,1,21,PACHO  ,139TM2A,340300,40
VPCINA2-N1,1,2,PACHO  ,AMELI3A,779,40
VPCMKA3-N1,1,8,PACHO  ,ADETM2A,32845,60
VPCMKCN-N1,1,7,PACHO  ,CVANA2A,25324,60
VPCMKE3-N1,1,13,PACHO  ,ESTICAA,71092,40
VPCMKE4-N1,1,11,PACHO  ,ESTVARA,57100,40
VPCMKGE-N1,1,19,PACHO  ,GESTATA,141777,60
VPHCNLR-N2,1,5,PACUR  ,PUEBL4A,80587,60
VPHCNM1-N2,1,9,PACUR  ,MANOP1A,123066,40
VPHCNPB-N2,1,17,PACUR  ,PACAB  ,264320,40
VPHCNPJ-P1,1,4,PACUR  ,PACAF  ,32783,60
VPHCNPN-P2,1,4,PACUR  ,POLIC1A,41780,30
VPHCNPO-P2,1,4,PACUR  ,PAOJO  ,39501,40
VPHCNPP-N2,1,5,PACUR  ,PAPUE  ,80046,40
VPHCNPS-N2,1,7,PACUR  ,VPESA1A,84897,30
VPHCNP2-P2,1,15,PACUR  ,ESTAPEA,359765,40
VPHCNP7-P2,1,5,PACUR  ,POLSI2A,57474,30
VPHCNSB-P2,1,4,PACUR  ,ESTSI2A,40257,60
VPHCNSI-P2,1,15,PACUR  ,YSAJO1A,361835,40
VPOCNVV-N1,1,5,PAOJO  ,VVETK2A,31267,60
VPORCAZ-N2,1,21,PAOJO  ,EALCDIA,101683,30
VPTCOAL-N1,1,10,PAICT1A,ALBROCA,29021,40
VPTCOA2-N1,1,7,PAICT1A,AMELI3A,14658,40
VPTOTPC-N1,1,4,PAICT1A,PACHO  ,11546,40
VPTOTPH-N1,1,7,PAICT1A,PACUR  ,16803,40
VPTTMED-N1,1,12,PAICT1A,DORAD1A,30581,60
VPTVEEM-N1,1,7,PAICT1A,ESTAMAA,11963,40
VPTVEE3-N1,1,11,PAICT1A,ESTICAA,22178,40
VPTVEE4-N1,1,8,PAICT1A,ESTVARA,28185,40
VPUCLPH-N1,1,5,URRACCA,PACUR  ,9780,40
VPUCOAL-N1,1,6,URRACCA,ALBROCA,15201,40
VPCMKL2-N1,1,8,PACHO  ,LPAVA2A,32319,60
VPCMKVV-N1,1,5,PACHO  ,VVETK2A,12604,60
VPCMOAL-N1,1,7,PACHO  ,ALBROCA,22659,40
VPCMOEM-N1,1,5,PACHO  ,ESTAMAA,11537,40
VPCMOMC-N1,1,5,PACHO  ,MERMACA,11152,60
VPCOTPH-N1,1,3,PACHO  ,PACUR  ,8843,40
VPCTKVR-P2,1,20,PACHO  ,VILRICA,154376,40
VPHCNST-P2,1,10,PACUR  ,ESTASLA,142236,40
VPHCNS1-N2,1,5,PACUR  ,ETAP11A,57877,40
VPHCNS7-P2,1,43,PACUR  ,SANVI1A,1023834,60
VPHCNTE-N2,1,12,PACUR  ,ESTATCA,175157,40
VP8PDPP-R2,1,42,PPAPC2A,PAPUE  ,587263,40
VP8PDVL-N2,1,41,PPAPC2A,VERDB2A,541814,40
VP8PJP2-R2,1,32,PPAPC2A,ESTAPEA,342951,40
VTACNEP-N2,1,13,TABLA3A,PODERTA,38052,40
VTACNE3-N1,1,7,TABLA3A,ESTICAA,46021,40
VTACNE4-N1,1,6,TABLA3A,ESTVARA,30610,40
VTACNL2-N1,1,8,TABLA3A,LPAVA2A,54675,60
VTACNMC-N1,1,12,TABLA3A,MERMACA,113357,60
VTACNM1-N2,1,10,TABLA3A,MANOP1A,24094,40
VTACNPC-N1,1,11,TABLA3A,PACHO  ,140655,40
VTACNPH-N1,1,5,TABLA3A,PACUR  ,18475,40
VTACNPN-N2,1,6,TABLA3A,POLIC1A,8774,30
VTACNPT-N1,1,12,TABLA3A,PAICT1A,122732,60
VTACNPU-N1,1,8,TABLA3A,URRACCA,55784,60
VSAROPB-N2,1,17,SALIDLA,PACAB  ,73262,40
VSAROPF-N2,1,13,SALIDLA,PBAVE1A,31512,40
VSAROPO-N2,1,3,SALIDLA,PAOJO  ,1586,40
VSAROSB-N2,1,5,SALIDLA,ESTSI2A,6084,60
VSAROVE-N2,1,3,SALIDLA,VERAN3A,1130,40
VSAROVR-N2,1,11,SALIDLA,VILRICA,18474,40
VSBAREP-N2,1,18,ESTSI2A,PODERTA,60070,40
VSBARM1-N2,1,19,ESTSI2A,MANOP1A,72486,40
VPUCSMX-N2,1,17,URRACCA,MAINT1A,236362,40
VPUCSPD-N2,1,25,URRACCA,PADON  ,459396,40
VPUCSPP-N2,1,12,URRACCA,PAPUE  ,100281,40
VPUCSVL-N2,1,11,URRACCA,VERDB2A,83726,40
VPXCNAL-N1,1,13,PEGRE1A,ALBROCA,81563,40
VSACNAL-N1,1,4,SALIDLA,ALBROCA,21707,40
VSACNM1-N2,1,9,SALIDLA,MANOP1A,25467,40
VSACNPC-N1,1,10,SALIDLA,PACHO  ,142229,40
VSACNPH-N1,1,4,SALIDLA,PACUR  ,18843,40
VSACNST-N2,1,13,SALIDLA,ESTASLA,43594,40
VSACNS1-N2,1,7,SALIDLA,ETAP11A,16286,40
VSACNVV-N1,1,5,SALIDLA,VVETK2A,31667,60
VSAROAC-N2,1,3,SALIDLA,ESTAN1A,218,60
VSAROEC-N2,1,17,SALIDLA,ESTACAA,73192,40
VSAROLA-N2,1,2,SALIDLA,ANDESLA,545,30
VTACNP7-N2,1,6,TABLA3A,POLSI2A,7532,30
VTACNST-N2,1,14,TABLA3A,ESTASLA,41417,40
VTACNS1-P2,1,8,TABLA3A,ETAP11A,15315,40
VTACNTE-N2,1,13,TABLA3A,ESTATCA,38403,40
VTACNTR-N2,1,18,TABLA3A,TTOTC1A,66267,40
VTACNVV-N1,1,6,TABLA3A,VVETK2A,31098,60
VTARCAZ-N2,1,22,TABLA3A,EALCDIA,99898,30
VSBARPN-N2,1,12,ESTSI2A,POLIC1A,27238,30
VSBARP7-N2,1,11,ESTSI2A,POLSI2A,21844,30
VSBARST-N2,1,18,ESTSI2A,ESTASLA,59864,40
VSBARS1-N2,1,11,ESTSI2A,ETAP11A,22174,40
VSBARTE-N2,1,18,ESTSI2A,ESTATCA,60421,40
VPXCNA3-N1,1,14,PEGRE1A,ADETM2A,102762,60
VPXCSBV-N2,1,18,PEGRE1A,BVVCS1A,86278,40
VPXCSCE-N2,1,18,PEGRE1A,BVVCS2A,85759,40
VPXCSC5-R1,1,21,PEGRE1A,HSBCL3A,148062,60
VPXCSPC-N1,1,26,PEGRE1A,PACHO  ,260666,40
VSDRCC6-N2,1,49,ESTSI1A,CANCP1A,625779,40
VSDRCS2-N2,1,30,ESTSI1A,SANVI2A,236175,60
VSDRCS7-N2,1,45,ESTSI1A,SANVI1A,518287,60
VTARCBN-N2,1,39,TABLA3A,DONBN2A,352164,60
VTARCCH-N2,1,57,TABLA3A,CHAGR1A,778054,60
VSBARTR-N2,1,21,ESTSI2A,TTOTC1A,81752,40
VSBARV1-N2,1,8,ESTSI2A,VALLE1A,9974,30
VSBCNAL-N1,1,9,ESTSI2A,ALBROCA,30278,40
VSBCNA2-N1,1,10,ESTSI2A,AMELI3A,49334,40
VSBCNA3-N1,1,10,ESTSI2A,ADETM2A,38668,60
VSBCNCN-N1,1,12,ESTSI2A,CVANA2A,67302,60
VPXCSPH-N1,1,26,PEGRE1A,PACUR  ,261363,40
VPXMAC1-N2,1,9,PEGRE1A,CONCE1A,18123,40
VPXMAEB-N2,1,24,PEGRE1A,ETBVE1A,121220,60
VPXMAJV-N2,1,7,PEGRE1A,JJVAL1A,10706,60
VPXMDDB-N2,1,8,PEGRE1A,CAL1C1A,19686,40
VSDROAC-N2,1,6,ESTSI1A,ESTAN1A,6381,60
VSDROAE-N2,1,7,ESTSI1A,ESTAN2A,8693,60
VSDROEA-N2,1,28,ESTSI1A,AMANE1A,195090,40
VSDROEC-N2,1,18,ESTSI1A,ESTACAA,83282,40
VTARCC6-N2,1,50,TABLA3A,CANCP1A,593867,40
VSBCNCV-N1,1,11,ESTSI2A,CRUVHVA,55003,60
VSBCNC5-N1,1,12,ESTSI2A,HSBCL3A,68836,60
VSBCNED-N1,1,9,ESTSI2A,DORAD1A,24467,60
VSBCNEM-N1,1,17,ESTSI2A,ESTAMAA,147666,40
VSBCNE3-N1,1,11,ESTSI2A,ESTICAA,57702,40
VSBCNE4-N1,1,10,ESTSI2A,ESTVARA,40920,40
VSBCNL2-N1,1,12,ESTSI2A,LPAVA2A,67727,60
VSBCNMC-N1,1,16,ESTSI2A,MERMACA,131893,60
VPXMDER-N2,1,6,PEGRE1A,ESTAPAA,8912,40
VPXMDE1-N2,1,10,PEGRE1A,ESTLP2A,24205,40
VPXMDPP-N2,1,15,PEGRE1A,PAPUE  ,57940,40
VPXMDSP-N2,1,13,PEGRE1A,AVE3CSA,43361,40
VPXMD99-N2,1,25,PEGRE1A,SSMTM3A,162224,50
VSDROGE-N2,1,13,ESTSI1A,GESTATA,33545,60
VSDROLA-N2,1,5,ESTSI1A,ANDESLA,5024,30
VSDROMS-N2,1,11,ESTSI1A,MASMITA,22854,60
VSDROPB-N2,1,18,ESTSI1A,PACAB  ,83352,40
VSDROPO-N2,1,5,ESTSI1A,PAOJO  ,4461,40
VSDROPS-N2,1,8,ESTSI1A,VPESA1A,12189,30
VSDROS3-N2,1,14,ESTSI1A,SANTA2A,45704,40
VSDROVE-N2,1,7,ESTSI1A,VERAN3A,8819,40
VTARCEA-N2,1,29,TABLA3A,AMANE1A,176450,40
VTAROAC-N2,1,2,TABLA3A,ESTAN1A,353,60
VTAROAE-N2,1,3,TABLA3A,ESTAN2A,1710,60
VTAROEC-N2,1,19,TABLA3A,ESTACAA,70962,40
VTAROGE-N2,1,9,TABLA3A,GESTATA,15330,60
VTAROLA-N2,1,4,TABLA3A,ANDESLA,1138,30
VSBCNPC-N1,1,15,ESTSI2A,PACHO  ,157820,40
VSBCNPT-P1,1,16,ESTSI2A,PAICT1A,141268,60
VSBCNPU-P1,1,12,ESTSI2A,URRACCA,68836,60
VSBCNVV-N1,1,10,ESTSI2A,VVETK2A,41408,60
VSBRCAZ-N2,1,16,ESTSI2A,EALCDIA,57029,30
VSBRCBN-N2,1,35,ESTSI2A,DONBN2A,275630,60
VPXMTCA-N2,1,16,PEGRE1A,PENAB1A,48273,40
VPXMTP2-N2,1,3,PEGRE1A,ESTAPEA,702,40
VPXMTSI-N2,1,2,PEGRE1A,YSAJO1A,711,40
VPXPAPD-N2,1,22,PEGRE1A,PADON  ,105243,40
VP2CAES-N2,1,29,ESTAPEA,ESTASIA,166930,40
VP2CNAL-N1,1,14,ESTAPEA,ALBROCA,88370,40
VSDROVR-N2,1,13,ESTSI1A,VILRICA,35723,40
VSICNPH-N1,1,15,YSAJO1A,PACUR  ,98835,40
VSICSBV-N2,1,20,YSAJO1A,BVVCS1A,113769,40
VSICSCE-N2,1,18,YSAJO1A,BVVCS2A,99320,40
VSICSPC-N1,1,28,YSAJO1A,PACHO  ,299925,40
VVASBC6-N2,1,41,VALLE2A,CANCP1A,483503,40
VVASBEA-N2,1,20,VALLE2A,AMANE1A,114869,40
VVASBEC-N2,1,10,VALLE2A,ESTACAA,32611,40
VVASBLA-N2,1,8,VALLE2A,ANDESLA,26229,30
VSBRCCH-N2,1,53,ESTSI2A,CHAGR1A,662136,60
VP2CNPH-N1,1,14,ESTAPEA,PACUR  ,85506,40
VP2CSBV-N2,1,19,ESTAPEA,BVVCS1A,95725,40
VP2CSCE-N2,1,18,ESTAPEA,BVVCS2A,92203,40
VP2CSC5-N1,1,22,ESTAPEA,HSBCL3A,159093,60
VP2CSEM-N1,1,27,ESTAPEA,ESTAMAA,270194,40
VSIMDPP-N2,1,17,YSAJO1A,PAPUE  ,81018,40
VSIPAPD-N2,1,24,YSAJO1A,PADON  ,138618,40
VSPCSAL-N1,1,15,AVE3CSA,ALBROCA,153467,40
VSPCSBV-N2,1,6,AVE3CSA,BVVCS1A,16058,40
VSPCSCE-N2,1,9,AVE3CSA,BVVCS2A,21752,40
VTAROMS-N2,1,8,TABLA3A,MASMITA,11283,60
VTAROPB-N2,1,18,TABLA3A,PACAB  ,70281,40
VTAROPF-N2,1,12,TABLA3A,PBAVE1A,33417,40
VTAROPO-N2,1,3,TABLA3A,PAOJO  ,1184,40
VTAROPS-N2,1,4,TABLA3A,VPESA1A,3858,30
VTAROSB-N2,1,6,TABLA3A,ESTSI2A,5515,60
VTAROVE-N2,1,3,TABLA3A,VERAN3A,1836,40
VTAROVR-N2,1,10,TABLA3A,VILRICA,20025,40
VTECNPC-P1,1,12,ESTATCA,PACHO  ,161766,40
VTECNPH-P1,1,6,ESTATCA,PACUR  ,24496,40
VSBRCC6-N2,1,46,ESTSI2A,CANCP1A,493265,40
VSBRCS2-N2,1,25,ESTSI2A,SANVI2A,153710,60
VP2CSMC-N1,1,27,ESTAPEA,MERMACA,270207,60
VP2CSPC-N1,1,27,ESTAPEA,PACHO  ,274337,40
VP2CSPU-N1,1,23,ESTAPEA,URRACCA,179750,60
VSPCSCN-N1,1,15,AVE3CSA,CVANA2A,142357,60
VSPCSEM-P1,1,16,AVE3CSA,ESTAMAA,134909,40
VSPCSMC-N1,1,14,AVE3CSA,MERMACA,129476,60
VSPCSPC-P1,1,14,AVE3CSA,PACHO  ,133606,40
VSPCSPH-P1,1,14,AVE3CSA,PACUR  ,134303,40
VSPDDPP-N2,1,5,AVE3CSA,PAPUE  ,6122,40
VSPDD99-P2,1,17,AVE3CSA,SSMTM3A,80590,50
VT1SBLA-N2,1,16,TORCA2A,ANDESLA,45519,30
VT1SBPB-N2,1,21,TORCA2A,PACAB  ,93157,40
VT1SBPF-N2,1,27,TORCA2A,PBAVE1A,140195,40
VT1SBPO-N2,1,16,TORCA2A,PAOJO  ,44956,40
VSBRCS7-N2,1,40,ESTSI2A,SANVI1A,393522,60
VSBROAC-N2,1,11,ESTSI2A,ESTAN1A,20193,60
VSBROAE-N2,1,12,ESTSI2A,ESTAN2A,24300,60
VP2DDVL-N2,1,12,ESTAPEA,VERDB2A,41391,40
VP2DPXA-N2,1,4,ESTAPEA,139TM2A,8847,40
VP2MAC1-N2,1,9,ESTAPEA,CONCE1A,19815,40
VP2MAEB-N2,1,25,ESTAPEA,ETBVE1A,133835,60
VP2MAJV-N2,1,8,ESTAPEA,JJVAL1A,14345,60
VP2MDCP-N2,1,7,ESTAPEA,CPRAD1A,23778,30
VSPDPPD-P2,1,30,AVE3CSA,PADON  ,254663,40
VSPJAC1-N2,1,12,AVE3CSA,CONCE1A,28800,40
VSPJAEB-N2,1,12,AVE3CSA,ETBVE1A,24560,60
VSTSBSB-P2,1,13,ESTASLA,ESTSI2A,20414,60
VVASBPB-N2,1,10,VALLE2A,PACAB  ,32681,40
VVASBPO-N2,1,8,VALLE2A,PAOJO  ,25666,40
VVASBSB-N2,1,10,VALLE2A,ESTSI2A,16834,60
VVECNAL-N1,1,6,VERAN3A,ALBROCA,23305,40
VVECNC5-N1,1,9,VERAN3A,HSBCL3A,59073,60
VVECNMC-N1,1,13,VERAN3A,MERMACA,118410,60
VVECNPC-N1,1,12,VERAN3A,PACHO  ,145267,40
VVECNPH-N1,1,5,VERAN3A,PACUR  ,19765,40
VVECNST-N2,1,14,VERAN3A,ESTASLA,46676,40
VSBROEA-N2,1,23,ESTSI2A,AMANE1A,118265,40
VSBROEC-N2,1,15,ESTSI2A,ESTACAA,38188,40
VSBROGE-N2,1,18,ESTSI2A,GESTATA,59922,60
VSBROLA-N2,1,10,ESTSI2A,ANDESLA,17041,30
VSBROMS-N2,1,17,ESTSI2A,MASMITA,52339,60
VP2MDDB-N2,1,6,ESTAPEA,CAL1C1A,18652,40
VP2MDER-N2,1,3,ESTAPEA,ESTAPAA,3201,40
VP2MDE1-N2,1,10,ESTAPEA,ESTLP2A,24438,40
VP2MDLR-N2,1,11,ESTAPEA,PUEBL4A,29456,60
VP2MDPP-N2,1,16,ESTAPEA,PAPUE  ,65803,40
VP2MDSP-N2,1,14,ESTAPEA,AVE3CSA,50168,40
VP2MD99-N2,1,26,ESTAPEA,SSMTM3A,175367,50
VS1CNPC-N1,1,12,ETAP11A,PACHO  ,155402,40
VS1CNPH-N1,1,6,ETAP11A,PACUR  ,24234,40
VS1SBPB-N2,1,12,ETAP11A,PACAB  ,46624,40
VS1SBPO-N2,1,5,ETAP11A,PAOJO  ,10806,40
VS1SBSB-N2,1,8,ETAP11A,ESTSI2A,6911,60
VS3CNAL-N1,1,7,SANTA2A,ALBROCA,31159,40
VS3CNC5-N1,1,10,SANTA2A,HSBCL3A,75126,60
VS3CNEM-N1,1,8,SANTA2A,ESTAMAA,47021,40
VS3CNMC-N1,1,14,SANTA2A,MERMACA,145395,60
VTESBPB-N2,1,21,ESTATCA,PACAB  ,92057,40
VTESBPO-N2,1,16,ESTATCA,PAOJO  ,44131,40
VTESBSB-P2,1,14,ESTATCA,ESTSI2A,31646,60
VT1CNAL-N1,1,5,TORCA2A,ALBROCA,27275,40
VT1CNA3-N1,1,6,TORCA2A,ADETM2A,37001,60
VT1CNC5-N1,1,8,TORCA2A,HSBCL3A,73735,60
VT1CNEM-N1,1,6,TORCA2A,ESTAMAA,42670,40
VSBROPB-N2,1,13,ESTSI2A,PACAB  ,34727,40
VSBROPO-N2,1,10,ESTSI2A,PAOJO  ,16478,40
VSBROPS-N2,1,13,ESTSI2A,VPESA1A,29591,30
VSBROSD-N2,1,6,ESTSI2A,ESTSI1A,4858,60
VSBROVE-N2,1,12,ESTSI2A,VERAN3A,24426,40
VSBROVR-P2,1,19,ESTSI2A,VILRICA,68153,40
VP2MTSI-N2,1,4,ESTAPEA,YSAJO1A,2068,40
VP2PADO-N2,1,23,ESTAPEA,ESTA24A,119243,60
VP2PAPD-N2,1,21,ESTAPEA,PADON  ,98609,40
VP7CNPH-N1,1,3,POLSI2A,PACUR  ,19008,40
VS3CNPC-N1,1,13,SANTA2A,PACHO  ,169519,40
VS3CNPH-N1,1,7,SANTA2A,PACUR  ,28295,40
VS3CNVV-N1,1,8,SANTA2A,VVETK2A,44092,60
VS3INEP-N2,1,2,SANTA2A,PODERTA,585,40
VS3INM1-N2,1,13,SANTA2A,MANOP1A,28135,40
VS3INST-N2,1,2,SANTA2A,ESTASLA,379,40
VS3INS1-N2,1,8,SANTA2A,ETAP11A,8646,40
VS3INTE-N2,1,2,SANTA2A,ESTATCA,936,40
VS3INTR-N2,1,5,SANTA2A,TTOTC1A,4237,40
VS3INV1-N2,1,13,SANTA2A,VALLE1A,23789,30
VS3SBAC-N2,1,17,SANTA2A,ESTAN1A,42131,60
VVAINM1-N2,1,13,VALLE2A,MANOP1A,36421,40
VVAINST-N2,1,12,VALLE2A,ESTASLA,26227,40
VVAINS1-N2,1,5,VALLE2A,ETAP11A,5533,40
VVAINTE-N2,1,13,VALLE2A,ESTATCA,30840,40
VVAINV1-N2,1,2,VALLE2A,VALLE1A,617,30
VVASBAC-N2,1,9,VALLE2A,ESTAN1A,30959,60
VVASBAE-N2,1,10,VALLE2A,ESTAN2A,36644,60
VVASBAZ-R2,1,13,VALLE2A,EALCDIA,54578,30
VVASBBN-N2,1,30,VALLE2A,DONBN2A,267353,60
VSDAREP-N2,1,15,ESTSI1A,PODERTA,51559,40
VSDARM1-N2,1,13,ESTSI1A,MANOP1A,49241,40
VSDARPN-N2,1,7,ESTSI1A,POLIC1A,15869,30
VSDARP7-N2,1,6,ESTSI1A,POLSI2A,12212,30
VSDARST-N2,1,15,ESTSI1A,ESTASLA,51353,40
